participant_id,timestamp,steps
p01,2016-04-12 08:00:00,200
p01,2016-04-12 09:00:00,250
p01,2016-04-12 10:00:00,300
p01,2016-04-12 11:00:00,0
p01,2016-04-12 12:00:00,400
p01,2016-04-12 13:00:00,450
p01,2016-04-12 14:00:00,500
p01,2016-04-12 15:00:00,550
p01,2016-04-12 16:00:00,0
p01,2016-04-12 17:00:00,0
p01,2016-04-12 18:00:00,0
p01,2016-04-13 08:00:00,200
p01,2016-04-13 09:00:00,250
p01,2016-04-13 10:00:00,0
p01,2016-04-13 11:00:00,350
p01,2016-04-13 12:00:00,400
p01,2016-04-13 13:00:00,450
p01,2016-04-13 14:00:00,500
p01,2016-04-13 15:00:00,550
p02,2016-04-12 08:00:00,500
p02,2016-04-12 09:00:00,550
p02,2016-04-12 10:00:00,600
p02,2016-04-12 11:00:00,650
p02,2016-04-12 12:00:00,700
p02,2016-04-12 13:00:00,750
p02,2016-04-12 14:00:00,800
p02,2016-04-12 15:00:00,850
p02,2016-04-12 16:00:00,0
p02,2016-04-12 17:00:00,0
p02,2016-04-12 18:00:00,0
p02,2016-04-13 08:00:00,20
p02,2016-04-13 09:00:00,20
p02,2016-04-13 10:00:00,20
p02,2016-04-13 11:00:00,20
p02,2016-04-13 12:00:00,20
p02,2016-04-13 13:00:00,20
p02,2016-04-13 14:00:00,20
p02,2016-04-13 15:00:00,20
